Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-01,1841.1495361328125,1854.9945151360407,1829.5976758435274,1841.4892113411177,1354908
2020-01-02,1832.697998046875,1851.6395579353712,1825.5206480145703,1851.6395579353712,2380752
2020-01-03,1869.22216796875,1888.2062407877997,1838.0919051123701,1838.0919051123701,4655761
2020-01-06,1869.052001953125,1890.7115839056353,1858.3920485766237,1872.9167923641326,3023209
2020-01-07,1873.638916015625,1881.1134295981005,1854.9097060714332,1869.0945677011657,2429317
2020-01-08,1915.5992431640625,1919.6338718770785,1870.411443052674,1872.917118357946,5197454
2020-01-09,1880.8585205078125,1912.7956586006378,1877.1635680924473,1910.0776351800412,3734173
2020-01-10,1880.179443359375,1897.5495397940222,1875.4652568778877,1892.4531668133757,1915807
2020-01-13,1860.4736328125,1884.7662212096955,1855.67442351397,1883.8320105243963,2843893
2020-01-14,1874.530517578125,1893.9817955433746,1864.4227958478061,1864.4227958478061,2948452
2020-01-15,1891.518798828125,1895.001403405756,1863.7436068236416,1879.7122840595866,2620681
2020-01-16,1901.6268310546875,1910.290624337182,1881.411175147558,1891.5614106677538,3117214
2020-01-17,1884.8931884765625,1914.1548150141844,1879.7117942107286,1903.2825137269274,3281059
2020-01-20,1843.4853515625,1904.514285378755,1831.4662824756376,1864.3378423076565,5817599
2020-01-21,1844.079833984375,1857.2454620371166,1833.0376943272367,1843.1454161415438,1902980
2020-01-22,1874.530517578125,1877.1637261155588,1846.3306333932148,1852.5312609312368,1773686
2020-01-23,1865.208740234375,1888.0242706786876,1859.0366396989582,1881.2562847635886,2069866
2020-01-24,1858.781005859375,1865.2085445525686,1847.3733457554258,1865.2085445525686,1319430
2020-01-27,1846.7352294921875,1867.3372358912159,1843.1171012334153,1864.1447697805345,1549101
2020-01-28,1859.0794677734375,1862.5273728082846,1832.0499208464512,1850.779055724993,1743024
2020-01-29,1834.2633056640625,1861.8035203479224,1830.3471309908557,1860.1434796348929,2306761
2020-01-30,1820.003662109375,1843.1170327548234,1809.0640621727482,1838.860411432064,2098567
2020-01-31,1769.9454345703125,1825.536940588027,1763.603111511825,1821.3227199642718,3287223
2020-02-03,1789.909423828125,1868.401486362742,1781.9920659020738,1832.0499786340665,4728073
2020-02-04,1794.378662109375,1819.0244572235588,1776.3732376181772,1812.46930216148,3509339
2020-02-05,1827.4102783203125,1836.0511371146565,1791.441825452799,1800.5509541962376,2439322
2020-02-06,1811.9161376953125,1850.9492317278268,1800.9765374199822,1826.0906040018253,2640065
2020-02-07,1818.896728515625,1831.1983214168304,1803.955947504539,1820.982431199721,2083442
2020-02-10,1840.520751953125,1844.819981757914,1803.9564104037934,1822.6003316969623,2383032
2020-02-11,1833.241455078125,1851.459917722802,1828.3039409763974,1841.414250561714,1335820
2020-02-12,1848.01220703125,1860.1435781933808,1830.3472279706034,1831.2837678290286,1620407
2020-02-13,1866.0599365234375,1870.3591650667777,1848.2247370778218,1849.8847776084312,1645948
2020-02-14,1859.462158203125,1883.1290110314858,1848.2247210440125,1862.6972315266232,1500115
2020-02-17,1875.6798095703125,1887.3855158594727,1864.5699885782233,1870.3164262110836,1774724
